numero,id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,Species,Freq_ITS_genbank,Prioridade
1688,,Achyrocline albicans Griseb.,nova,Asteraceae,,,,,?,?
1690,,Calea multiplinervia,nova,Asteraceae,,,,,?,?
1694,,Lychnophora ericoides,nova,Asteraceae,,,,,?,?
1696,,Mimosa distans,nova,Fabaceae,,,,,?,?
1705,,Tachigali vulgaris,nova,Fabaceae,,,,,?,?
1700,,Passovia pedunculata,nova,Loranthaceae,,,,,?,?
1689,,Byrsonima subterranea,nova,Malpighiaceae,,,,,?,?
1706,,Tetrapterys ramiflora,nova,Malpighiaceae,,,,,?,?
1691,,Ceiba pubiflora,nova,Malvaceae,,,,,?,?
1695,,Miconia rubiginosa,nova,Melastomataceae,,,,,?,?
1704,,Stenodon suberosus,não ocorre IBGE,Melastomataceae,,,,,?,?
1692,,Eugenia calycina,nova,Myrtaceae,,,,,?,?
1693,,Eugenia langsdorffii,nova,Myrtaceae,,,,,?,?
1697,,Myrcia decrescens,nova,Myrtaceae,,,,,?,?
1698,,Myrcia myrtillifolia,nova,Myrtaceae,,,,,?,?
1699,,Myrciaria cuspidata,nova,Myrtaceae,,,,,?,?
1701,,Psidium bergianum,nova,Myrtaceae,,,,,?,?
1702,,Psidium myrsinites,nova,Myrtaceae,,accepted,,,?,?
,,Triplaris gardneriana,nova,Polygonaceae,,,,,?,?
1703,,Solanum falciforme,nova,Solanaceae,,,,,?,?
247,26230,Justicia pycnophylla Lindau,NA,Acanthaceae,species,accepted,Justicia pycnophylla,Justicia pycnophylla,0,Prioridade 1
248,26235,Justicia sarothroides Lindau,NA,Acanthaceae,species,accepted,Justicia sarothroides,Justicia sarothroides,0,Prioridade 1
249,26241,Justicia warmingii Hiern,NA,Acanthaceae,species,accepted,Justicia warmingii,Justicia warmingii,0,Prioridade 1
250,26244,Lepidagathis cyanea (Leonard) Kameyama,NA,Acanthaceae,species,accepted,Lepidagathis cyanea,Lepidagathis cyanea,0,Prioridade 1
251,26245,Lepidagathis floribunda (Pohl) Kameyama,NA,Acanthaceae,species,accepted,Lepidagathis floribunda,Lepidagathis floribunda,0,Prioridade 1
252,4181,Mendoncia mollis Lindau,NA,Acanthaceae,species,accepted,Mendoncia mollis,Mendoncia mollis,0,Prioridade 1
253,26261,Ruellia dissitifolia (Nees) Hiern,NA,Acanthaceae,species,accepted,Ruellia dissitifolia,Ruellia dissitifolia,0,Prioridade 1
