"kingdom";"phylum";"order";"family";"genus";"species";"Melipona rufiventris.honey";"Scaptotrigona sp.honey";"Tetragonisca angustula.honey";"Melipona rufiventris.pollen";"Scaptotrigona sp.pollen";"Tetragonisca angustula.pollen"
"Viridiplantae";"Streptophyta";"Malpighiales";"Phyllanthaceae";"Richeria";"Richeria grandis";"0.0317016133911535";"0.0490895902976119";"0.103289642522123";"0.00319512721598593";"0.0171473355709454";"0.115874609762288"
"Viridiplantae";"Streptophyta";"Caryophyllales";"Nyctaginaceae";"Guapira";"Guapira graciliflora";"0.00572804553324506";"0.0117612499916562";"0.0110580193660911";"0.0213135810070406";"0.0515793296769648";"0.0337651526515993"
"Viridiplantae";"Streptophyta";"Chloranthales";"Chloranthaceae";"Hedyosmum";"Hedyosmum brasiliense";"0";"0.00234854886040304";"0.00970711434140147";"0.000876727361664901";"0.00996873657768649";"0.0583153093991623"
"Viridiplantae";"Streptophyta";"Sapindales";"Anacardiaceae";"Toxicodendron";"Toxicodendron succedaneum";"0";"0.00054487467477546";"0.00368003514621278";"0";"0.000739305754799544";"0.0207985482864915"
"Viridiplantae";"Streptophyta";"Sapindales";"Anacardiaceae";"Tapirira";"Tapirira guianensis";"0.0251869417811052";"0.0288163830010085";"0.0468878923333576";"0.0171015831251858";"0.0780350284949437";"0.123339256381471"
"Viridiplantae";"Streptophyta";"Malpighiales";"Euphorbiaceae";"Maprounea";"Maprounea guianensis";"0";"0.000935763028418724";"0.00433717347286657";"0.00944070187995684";"0.00696849068525123";"0.0610149853446555"
"Viridiplantae";"Streptophyta";"Rosales";"Moraceae";"Artocarpus";"Artocarpus heterophyllus";"0";"0";"0";"0";"0";"0.00356819957893554"
"Viridiplantae";"Streptophyta";"Malpighiales";"Euphorbiaceae";"Mabea";"Mabea spc";"0.00726071743389731";"0.0200302421012154";"0.158157057800651";"0";"0.00600585406457474";"0.000574274551562927"
"Viridiplantae";"Streptophyta";"Apiales";"Araliaceae";"Schefflera";"Schefflera macrocarpa";"0";"0";"0";"0";"0.00027922511922179";"0.00339217124569103"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Blepharocalyx";"Blepharocalyx salicifolius";"0.0222172818336371";"0.0219056264885576";"0.0066171315964028";"0.0384185446944386";"0.0454685837591279";"0.00338810683539624"
